family,k_c,log2_M_c,log2_M_c_minus_log2_p,distribution,precision_bits,use_offset,n_samples,seed,aborts,abort_rate,certified_correct,certified_when_wrong,diff_distribution,elapsed_seconds
standard17,17,272.0212735604559,16.02127356045588,product_modp,8,True,1000000,12841067263456,499003,0.499003,0,0,"{""-1"": 499003, ""0"": 500997}",6.364
standard17,17,272.0212735604559,16.02127356045588,product_modp,10,False,1000000,12838856395788,1000000,1.0,0,0,"{""-1"": 1000000}",6.646
standard17,17,272.0212735604559,16.02127356045588,product_modp,10,True,1000000,12838666629989,497231,0.497231,0,0,"{""-1"": 497231, ""0"": 502769}",6.852
standard17,17,272.0212735604559,16.02127356045588,product_modp,12,False,1000000,12839577373866,1000000,1.0,0,0,"{""-1"": 1000000}",6.574
standard17,17,272.0212735604559,16.02127356045588,product_modp,12,True,1000000,12841164695932,488629,0.488629,0,0,"{""-1"": 488629, ""0"": 511371}",6.859
standard17,17,272.0212735604559,16.02127356045588,product_modp,14,False,1000000,12839490437032,1000000,1.0,0,0,"{""-1"": 1000000}",6.879
standard17,17,272.0212735604559,16.02127356045588,product_modp,14,True,1000000,12841347491585,458089,0.458089,0,0,"{""-1"": 458089, ""0"": 541911}",6.601
standard17,17,272.0212735604559,16.02127356045588,product_modp,16,False,1000000,12840699463214,1000000,1.0,0,0,"{""-1"": 1000000}",7.317
standard17,17,272.0212735604559,16.02127356045588,product_modp,16,True,1000000,12840375479687,340363,0.340363,0,0,"{""-1"": 340363, ""0"": 659637}",7.2
wide20,12,240.00111989781973,-15.998880102180266,product_modMc,6,False,1000000,12841600385787,85641,0.085641,812349,0,"{""-1"": 85641, ""0"": 914359}",5.627
wide20,12,240.00111989781973,-15.998880102180266,product_modMc,6,True,1000000,12841140625357,13427,0.013427,812390,0,"{""-1"": 2898, ""0"": 986573, ""1"": 10529}",5.83
wide20,12,240.00111989781973,-15.998880102180266,product_modMc,8,False,1000000,12841345676793,21691,0.021691,952624,0,"{""-1"": 21691, ""0"": 978309}",5.641
wide20,12,240.00111989781973,-15.998880102180266,product_modMc,8,True,1000000,12840619040082,3380,0.00338,952976,0,"{""-1"": 779, ""0"": 996620, ""1"": 2601}",5.976
wide20,12,240.00111989781973,-15.998880102180266,product_modMc,10,False,1000000,12841798219415,5308,0.005308,988377,0,"{""-1"": 5308, ""0"": 994692}",5.916
wide20,12,240.00111989781973,-15.998880102180266,product_modMc,10,True,1000000,12841238057833,782,0.000782,988440,0,"{""-1"": 133, ""0"": 999218, ""1"": 649}",6.036
wide20,12,240.00111989781973,-15.998880102180266,product_modMc,12,False,1000000,12838390967470,1378,0.001378,997038,0,"{""-1"": 1378, ""0"": 998622}",6.387
wide20,12,240.00111989781973,-15.998880102180266,product_modMc,12,True,1000000,12837897652608,209,0.000209,997109,0,"{""-1"": 43, ""0"": 999791, ""1"": 166}",6.295
wide20,12,240.00111989781973,-15.998880102180266,product_modMc,14,False,1000000,12840285039155,310,0.00031,999282,0,"{""-1"": 310, ""0"": 999690}",6.17
wide20,12,240.00111989781973,-15.998880102180266,product_modMc,14,True,1000000,12841738143493,46,4.6e-05,999283,0,"{""-1"": 5, ""0"": 999954, ""1"": 41}",6.218
wide20,12,240.00111989781973,-15.998880102180266,product_modMc,16,False,1000000,12841494065337,81,8.1e-05,999797,0,"{""-1"": 81, ""0"": 999919}",6.387
wide20,12,240.00111989781973,-15.998880102180266,product_modMc,16,True,1000000,12839189073291,6,6e-06,999836,0,"{""0"": 999994, ""1"": 6}",6.306
wide20,13,260.0013193839023,4.001319383902285,product_modMc,6,False,1000000,12838081557480,93666,0.093666,796694,0,"{""-1"": 93666, ""0"": 906334}",6.051
wide20,13,260.0013193839023,4.001319383902285,product_modMc,6,True,1000000,12841817660225,12717,0.012717,796740,0,"{""-1"": 6332, ""0"": 987283, ""1"": 6385}",6.232
wide20,13,260.0013193839023,4.001319383902285,product_modMc,8,False,1000000,12837694189933,23642,0.023642,949061,0,"{""-1"": 23642, ""0"": 976358}",6.09
wide20,13,260.0013193839023,4.001319383902285,product_modMc,8,True,1000000,12839685200070,3158,0.003158,948854,0,"{""-1"": 1558, ""0"": 996842, ""1"": 1600}",6.21
wide20,13,260.0013193839023,4.001319383902285,product_modMc,10,False,1000000,12840460691332,6106,0.006106,987088,0,"{""-1"": 6106, ""0"": 993894}",6.003
wide20,13,260.0013193839023,4.001319383902285,product_modMc,10,True,1000000,12840304479965,787,0.000787,987344,0,"{""-1"": 365, ""0"": 999213, ""1"": 422}",6.221
wide20,13,260.0013193839023,4.001319383902285,product_modMc,12,False,1000000,12839253783928,1395,0.001395,996981,0,"{""-1"": 1395, ""0"": 998605}",6.617
wide20,13,260.0013193839023,4.001319383902285,product_modMc,12,True,1000000,12840708185297,190,0.00019,996787,0,"{""-1"": 99, ""0"": 999810, ""1"": 91}",6.777
wide20,13,260.0013193839023,4.001319383902285,product_modMc,14,False,1000000,12841684741007,392,0.000392,999163,0,"{""-1"": 392, ""0"": 999608}",6.592
wide20,13,260.0013193839023,4.001319383902285,product_modMc,14,True,1000000,12841662747368,46,4.6e-05,999206,0,"{""-1"": 22, ""0"": 999954, ""1"": 24}",6.842
wide20,13,260.0013193839023,4.001319383902285,product_modMc,16,False,1000000,12839720315156,86,8.6e-05,999815,0,"{""-1"": 86, ""0"": 999914}",6.617
wide20,13,260.0013193839023,4.001319383902285,product_modMc,16,True,1000000,12839060525165,16,1.6e-05,999785,0,"{""-1"": 5, ""0"": 999984, ""1"": 11}",6.609
wide20,13,260.0013193839023,4.001319383902285,product_modp,6,False,1000000,12839551165670,998035,0.998035,1965,0,"{""-1"": 998035, ""0"": 1965}",5.421
wide20,13,260.0013193839023,4.001319383902285,product_modp,6,True,1000000,12839125221816,99899,0.099899,1940,0,"{""-1"": 99899, ""0"": 900101}",5.489
wide20,13,260.0013193839023,4.001319383902285,product_modp,8,False,1000000,12840170183421,375218,0.375218,624782,0,"{""-1"": 375218, ""0"": 624782}",5.658
