family,k_c,log2_M_c,log2_M_c_minus_log2_p,precision_bits,use_offset,n_samples,seed,aborts,abort_rate,certified_correct,certified_when_wrong,diff_distribution,elapsed_seconds
wide20,13,260.0013193839023,4.001319383902285,8,True,1000000,223193897679000,3187,0.003187,948992,0,"{""-1"": 1532, ""0"": 996813, ""1"": 1655}",4.62
wide20,13,260.0013193839023,4.001319383902285,10,False,1000000,223196241956548,5853,0.005853,987371,0,"{""-1"": 5853, ""0"": 994147}",4.555
wide20,13,260.0013193839023,4.001319383902285,10,True,1000000,223194250737181,799,0.000799,987275,0,"{""-1"": 402, ""0"": 999201, ""1"": 397}",4.551
wide20,13,260.0013193839023,4.001319383902285,12,False,1000000,223193106810075,1445,0.001445,996845,0,"{""-1"": 1445, ""0"": 998555}",4.81
wide20,13,260.0013193839023,4.001319383902285,12,True,1000000,223193799945268,220,0.00022,996831,0,"{""-1"": 112, ""0"": 999780, ""1"": 108}",4.834
wide20,13,260.0013193839023,4.001319383902285,14,False,1000000,223194850595535,365,0.000365,999185,0,"{""-1"": 365, ""0"": 999635}",5.097
wide20,13,260.0013193839023,4.001319383902285,14,True,1000000,223193296383905,47,4.7e-05,999223,0,"{""-1"": 24, ""0"": 999953, ""1"": 23}",5.037
wide20,13,260.0013193839023,4.001319383902285,16,False,1000000,223196545583334,92,9.2e-05,999807,0,"{""-1"": 92, ""0"": 999908}",4.981
wide20,13,260.0013193839023,4.001319383902285,16,True,1000000,223194456729016,16,1.6e-05,999788,0,"{""-1"": 7, ""0"": 999984, ""1"": 9}",5.081
wide20,14,280.00157114453486,24.001571144534864,6,False,1000000,223195845282991,101528,0.101528,781075,0,"{""-1"": 101528, ""0"": 898472}",4.826
wide20,14,280.00157114453486,24.001571144534864,6,True,1000000,223196540122120,14631,0.014631,780796,0,"{""-1"": 3328, ""0"": 985369, ""1"": 11303}",4.76
wide20,14,280.00157114453486,24.001571144534864,8,False,1000000,223193247007430,25546,0.025546,945174,0,"{""-1"": 25546, ""0"": 974454}",4.806
wide20,14,280.00157114453486,24.001571144534864,8,True,1000000,223193403271711,3682,0.003682,945601,0,"{""-1"": 836, ""0"": 996318, ""1"": 2846}",4.829
wide20,14,280.00157114453486,24.001571144534864,10,False,1000000,223195749646411,6271,0.006271,986423,0,"{""-1"": 6271, ""0"": 993729}",4.945
wide20,14,280.00157114453486,24.001571144534864,10,True,1000000,223195905910692,851,0.000851,986260,0,"{""-1"": 193, ""0"": 999149, ""1"": 658}",4.696
wide20,14,280.00157114453486,24.001571144534864,12,False,1000000,223194003785425,1559,0.001559,996608,0,"{""-1"": 1559, ""0"": 998441}",4.89
wide20,14,280.00157114453486,24.001571144534864,12,True,1000000,223194159918634,212,0.000212,996477,0,"{""-1"": 52, ""0"": 999788, ""1"": 160}",4.856
wide20,14,280.00157114453486,24.001571144534864,14,False,1000000,223196503671894,408,0.000408,999115,0,"{""-1"": 408, ""0"": 999592}",4.852
wide20,14,280.00157114453486,24.001571144534864,14,True,1000000,223192364968879,56,5.6e-05,999141,0,"{""-1"": 11, ""0"": 999944, ""1"": 45}",4.86
wide20,14,280.00157114453486,24.001571144534864,16,False,1000000,223193368918637,93,9.3e-05,999790,0,"{""-1"": 93, ""0"": 999907}",4.844
wide20,14,280.00157114453486,24.001571144534864,16,True,1000000,223194062053830,11,1.1e-05,999792,0,"{""-1"": 5, ""0"": 999989, ""1"": 6}",4.881
wide20,15,300.0018559196968,44.00185591969682,6,False,1000000,223194665103104,109443,0.109443,765638,0,"{""-1"": 109443, ""0"": 890557}",4.828
wide20,15,300.0018559196968,44.00185591969682,6,True,1000000,223192573627346,13560,0.01356,765727,0,"{""-1"": 6782, ""0"": 986440, ""1"": 6778}",4.781
wide20,15,300.0018559196968,44.00185591969682,8,False,1000000,223195824923927,27237,0.027237,941510,0,"{""-1"": 27237, ""0"": 972763}",4.797
wide20,15,300.0018559196968,44.00185591969682,8,True,1000000,223194270712297,3359,0.003359,941804,0,"{""-1"": 1694, ""0"": 996641, ""1"": 1665}",4.798
wide20,15,300.0018559196968,44.00185591969682,10,False,1000000,223194030498460,6785,0.006785,985459,0,"{""-1"": 6785, ""0"": 993215}",4.881
wide20,15,300.0018559196968,44.00185591969682,10,True,1000000,223192476286830,799,0.000799,985424,0,"{""-1"": 392, ""0"": 999201, ""1"": 407}",4.848
wide20,15,300.0018559196968,44.00185591969682,12,False,1000000,223192284637474,1787,0.001787,996276,0,"{""-1"": 1787, ""0"": 998213}",5.183
wide20,15,300.0018559196968,44.00185591969682,12,True,1000000,223195025262068,231,0.000231,996371,0,"{""-1"": 133, ""0"": 999769, ""1"": 98}",5.497
wide20,15,300.0018559196968,44.00185591969682,14,False,1000000,223194787014311,401,0.000401,999116,0,"{""-1"": 401, ""0"": 999599}",5.255
wide20,15,300.0018559196968,44.00185591969682,14,True,1000000,223195379893113,44,4.4e-05,999104,0,"{""-1"": 25, ""0"": 999956, ""1"": 19}",5.174
wide20,15,300.0018559196968,44.00185591969682,16,False,1000000,223196481608894,108,0.000108,999780,0,"{""-1"": 108, ""0"": 999892}",5.193
wide20,15,300.0018559196968,44.00185591969682,16,True,1000000,223194929494416,17,1.7e-05,999774,0,"{""-1"": 6, ""0"": 999983, ""1"": 11}",5.186
wide20,16,320.00215445068966,64.00215445068966,6,False,1000000,223195291536835,117635,0.117635,749069,0,"{""-1"": 117635, ""0"": 882365}",5.094
wide20,16,320.00215445068966,64.00215445068966,6,True,1000000,223195984672028,15505,0.015505,750176,0,"{""-1"": 3896, ""0"": 984495, ""1"": 11609}",5.045
wide20,16,320.00215445068966,64.00215445068966,8,False,1000000,223193498946376,29176,0.029176,937477,0,"{""-1"": 29176, ""0"": 970824}",5.085
wide20,16,320.00215445068966,64.00215445068966,8,True,1000000,223196239833114,3899,0.003899,937439,0,"{""-1"": 960, ""0"": 996101, ""1"": 2939}",5.045
wide20,16,320.00215445068966,64.00215445068966,10,False,1000000,223195194065247,7371,0.007371,984346,0,"{""-1"": 7371, ""0"": 992629}",5.152
wide20,16,320.00215445068966,64.00215445068966,10,True,1000000,223195350329528,947,0.000947,984238,0,"{""-1"": 227, ""0"": 999053, ""1"": 720}",5.132
wide20,16,320.00215445068966,64.00215445068966,12,False,1000000,223196400979795,1804,0.001804,996112,0,"{""-1"": 1804, ""0"": 998196}",5.442
wide20,16,320.00215445068966,64.00215445068966,12,True,1000000,223194848865317,248,0.000248,996145,0,"{""-1"": 60, ""0"": 999752, ""1"": 188}",5.445
wide20,16,320.00215445068966,64.00215445068966,14,False,1000000,223195950318954,498,0.000498,999018,0,"{""-1"": 498, ""0"": 999502}",5.423
wide20,16,320.00215445068966,64.00215445068966,14,True,1000000,223196543459900,70,7e-05,999014,0,"{""-1"": 18, ""0"": 999930, ""1"": 52}",5.445
wide20,16,320.00215445068966,64.00215445068966,16,False,1000000,223192815565697,105,0.000105,999770,0,"{""-1"": 105, ""0"": 999895}",5.5
wide20,16,320.00215445068966,64.00215445068966,16,True,1000000,223195656315610,17,1.7e-05,999742,0,"{""-1"": 6, ""0"": 999983, ""1"": 11}",5.483
wide20,17,340.0024612351181,84.00246123511812,6,False,1000000,223196158977421,124723,0.124723,735150,0,"{""-1"": 124723, ""0"": 875277}",5.344
wide20,17,340.0024612351181,84.00246123511812,6,True,1000000,223196315241702,14605,0.014605,733826,0,"{""-1"": 7323, ""0"": 985395, ""1"": 7282}",5.294
wide20,17,340.0024612351181,84.00246123511812,8,False,1000000,223195269473835,31401,0.031401,933573,0,"{""-1"": 31401, ""0"": 968599}",5.324
wide20,17,340.0024612351181,84.00246123511812,8,True,1000000,223193717490429,3549,0.003549,933781,0,"{""-1"": 1806, ""0"": 996451, ""1"": 1743}",5.306
wide20,17,340.0024612351181,84.00246123511812,10,False,1000000,223195524634921,7816,0.007816,983307,0,"{""-1"": 7816, ""0"": 992184}",5.425
wide20,17,340.0024612351181,84.00246123511812,10,True,1000000,223196217770114,903,0.000903,983439,0,"{""-1"": 423, ""0"": 999097, ""1"": 480}",5.456
wide20,17,340.0024612351181,84.00246123511812,12,False,1000000,223194315644847,1943,0.001943,995829,0,"{""-1"": 1943, ""0"": 998057}",5.721
wide20,17,340.0024612351181,84.00246123511812,12,True,1000000,223192324425480,206,0.000206,995910,0,"{""-1"": 107, ""0"": 999794, ""1"": 99}",5.754
wide20,17,340.0024612351181,84.00246123511812,14,False,1000000,223194670275892,456,0.000456,999018,0,"{""-1"": 456, ""0"": 999544}",5.755
wide20,17,340.0024612351181,84.00246123511812,14,True,1000000,223194826409101,58,5.8e-05,998947,0,"{""-1"": 28, ""0"": 999942, ""1"": 30}",5.748
wide20,17,340.0024612351181,84.00246123511812,16,False,1000000,223195828523851,123,0.000123,999732,0,"{""-1"": 123, ""0"": 999877}",5.774
wide20,17,340.0024612351181,84.00246123511812,16,True,1000000,223196521659044,11,1.1e-05,999751,0,"{""-1"": 6, ""0"": 999989, ""1"": 5}",5.793
