family,k_c,log2_M_c,log2_M_c_minus_log2_p,target_frac,pool_size,rejection_attempts,rejection_rate,precision_bits,use_offset,seed,aborts,abort_rate,certified_correct,certified_when_wrong,diff_distribution
standard17,15,240.01608298306616,-15.983917016933844,0.001,10000,10148436,0.0009853735097703725,6,True,191034812473017,4936,0.4936,0,0,"{""-1"": 4936, ""0"": 5064}"
standard17,15,240.01608298306616,-15.983917016933844,0.001,10000,10148436,0.0009853735097703725,8,False,191034812473017,10000,1.0,0,0,"{""-1"": 10000}"
standard17,15,240.01608298306616,-15.983917016933844,0.001,10000,10148436,0.0009853735097703725,8,True,191034812473017,4553,0.4553,0,0,"{""-1"": 4553, ""0"": 5447}"
standard17,15,240.01608298306616,-15.983917016933844,0.001,10000,10148436,0.0009853735097703725,10,False,191034812473017,10000,1.0,0,0,"{""-1"": 10000}"
standard17,15,240.01608298306616,-15.983917016933844,0.001,10000,10148436,0.0009853735097703725,10,True,191034812473017,3272,0.3272,0,0,"{""-1"": 3272, ""0"": 6728}"
standard17,15,240.01608298306616,-15.983917016933844,0.001,10000,10148436,0.0009853735097703725,12,False,191034812473017,9999,0.9999,1,0,"{""-1"": 9999, ""0"": 1}"
standard17,15,240.01608298306616,-15.983917016933844,0.001,10000,10148436,0.0009853735097703725,12,True,191034812473017,1014,0.1014,1,0,"{""-1"": 1014, ""0"": 8986}"
standard17,15,240.01608298306616,-15.983917016933844,0.001,10000,10148436,0.0009853735097703725,14,False,191034812473017,4260,0.426,5740,0,"{""-1"": 4260, ""0"": 5740}"
standard17,15,240.01608298306616,-15.983917016933844,0.001,10000,10148436,0.0009853735097703725,14,True,191034812473017,292,0.0292,5740,0,"{""-1"": 292, ""0"": 9708}"
standard17,15,240.01608298306616,-15.983917016933844,0.001,10000,10148436,0.0009853735097703725,16,False,191034812473017,1079,0.1079,8921,0,"{""-1"": 1079, ""0"": 8921}"
standard17,15,240.01608298306616,-15.983917016933844,0.001,10000,10148436,0.0009853735097703725,16,True,191034812473017,80,0.008,8921,0,"{""-1"": 80, ""0"": 9920}"
standard17,15,240.01608298306616,-15.983917016933844,0.005,10000,1990344,0.005024257113343221,6,False,191035391390927,10000,1.0,0,0,"{""-1"": 10000}"
standard17,15,240.01608298306616,-15.983917016933844,0.005,10000,1990344,0.005024257113343221,6,True,191035391390927,4410,0.441,0,0,"{""-1"": 4410, ""0"": 5590}"
standard17,15,240.01608298306616,-15.983917016933844,0.005,10000,1990344,0.005024257113343221,8,False,191035391390927,10000,1.0,0,0,"{""-1"": 10000}"
standard17,15,240.01608298306616,-15.983917016933844,0.005,10000,1990344,0.005024257113343221,8,True,191035391390927,2912,0.2912,0,0,"{""-1"": 2912, ""0"": 7088}"
standard17,15,240.01608298306616,-15.983917016933844,0.005,10000,1990344,0.005024257113343221,10,False,191035391390927,9973,0.9973,27,0,"{""-1"": 9973, ""0"": 27}"
standard17,15,240.01608298306616,-15.983917016933844,0.005,10000,1990344,0.005024257113343221,10,True,191035391390927,825,0.0825,27,0,"{""-1"": 825, ""0"": 9175}"
standard17,15,240.01608298306616,-15.983917016933844,0.005,10000,1990344,0.005024257113343221,12,False,191035391390927,3390,0.339,6610,0,"{""-1"": 3390, ""0"": 6610}"
standard17,15,240.01608298306616,-15.983917016933844,0.005,10000,1990344,0.005024257113343221,12,True,191035391390927,217,0.0217,6610,0,"{""-1"": 217, ""0"": 9783}"
standard17,15,240.01608298306616,-15.983917016933844,0.005,10000,1990344,0.005024257113343221,14,False,191035391390927,843,0.0843,9157,0,"{""-1"": 843, ""0"": 9157}"
standard17,15,240.01608298306616,-15.983917016933844,0.005,10000,1990344,0.005024257113343221,14,True,191035391390927,62,0.0062,9157,0,"{""-1"": 62, ""0"": 9938}"
standard17,15,240.01608298306616,-15.983917016933844,0.005,10000,1990344,0.005024257113343221,16,False,191035391390927,218,0.0218,9782,0,"{""-1"": 218, ""0"": 9782}"
standard17,15,240.01608298306616,-15.983917016933844,0.005,10000,1990344,0.005024257113343221,16,True,191035391390927,15,0.0015,9782,0,"{""-1"": 15, ""0"": 9985}"
standard17,15,240.01608298306616,-15.983917016933844,0.01,10000,1019661,0.009807181014082131,6,False,191033464900391,10000,1.0,0,0,"{""-1"": 10000}"
standard17,15,240.01608298306616,-15.983917016933844,0.01,10000,1019661,0.009807181014082131,6,True,191033464900391,3840,0.384,0,0,"{""-1"": 3840, ""0"": 6160}"
standard17,15,240.01608298306616,-15.983917016933844,0.01,10000,1019661,0.009807181014082131,8,False,191033464900391,10000,1.0,0,0,"{""-1"": 10000}"
standard17,15,240.01608298306616,-15.983917016933844,0.01,10000,1019661,0.009807181014082131,8,True,191033464900391,1685,0.1685,0,0,"{""-1"": 1685, ""0"": 8315}"
standard17,15,240.01608298306616,-15.983917016933844,0.01,10000,1019661,0.009807181014082131,10,False,191033464900391,6893,0.6893,3107,0,"{""-1"": 6893, ""0"": 3107}"
standard17,15,240.01608298306616,-15.983917016933844,0.01,10000,1019661,0.009807181014082131,10,True,191033464900391,452,0.0452,3107,0,"{""-1"": 452, ""0"": 9548}"
standard17,15,240.01608298306616,-15.983917016933844,0.01,10000,1019661,0.009807181014082131,12,False,191033464900391,1750,0.175,8250,0,"{""-1"": 1750, ""0"": 8250}"
standard17,15,240.01608298306616,-15.983917016933844,0.01,10000,1019661,0.009807181014082131,12,True,191033464900391,110,0.011,8250,0,"{""-1"": 110, ""0"": 9890}"
standard17,15,240.01608298306616,-15.983917016933844,0.01,10000,1019661,0.009807181014082131,14,False,191033464900391,456,0.0456,9544,0,"{""-1"": 456, ""0"": 9544}"
standard17,15,240.01608298306616,-15.983917016933844,0.01,10000,1019661,0.009807181014082131,14,True,191033464900391,24,0.0024,9544,0,"{""-1"": 24, ""0"": 9976}"
standard17,15,240.01608298306616,-15.983917016933844,0.01,10000,1019661,0.009807181014082131,16,False,191033464900391,97,0.0097,9903,0,"{""-1"": 97, ""0"": 9903}"
standard17,15,240.01608298306616,-15.983917016933844,0.01,10000,1019661,0.009807181014082131,16,True,191033464900391,8,0.0008,9903,0,"{""-1"": 8, ""0"": 9992}"
standard17,15,240.01608298306616,-15.983917016933844,0.05,10000,198664,0.05033624612410905,6,False,191034141328743,10000,1.0,0,0,"{""-1"": 10000}"
standard17,15,240.01608298306616,-15.983917016933844,0.05,10000,198664,0.05033624612410905,6,True,191034141328743,1345,0.1345,0,0,"{""-1"": 1345, ""0"": 8655}"
standard17,15,240.01608298306616,-15.983917016933844,0.05,10000,198664,0.05033624612410905,8,False,191034141328743,5528,0.5528,4472,0,"{""-1"": 5528, ""0"": 4472}"
standard17,15,240.01608298306616,-15.983917016933844,0.05,10000,198664,0.05033624612410905,8,True,191034141328743,353,0.0353,4472,0,"{""-1"": 353, ""0"": 9647}"
standard17,15,240.01608298306616,-15.983917016933844,0.05,10000,198664,0.05033624612410905,10,False,191034141328743,1363,0.1363,8637,0,"{""-1"": 1363, ""0"": 8637}"
standard17,15,240.01608298306616,-15.983917016933844,0.05,10000,198664,0.05033624612410905,10,True,191034141328743,92,0.0092,8637,0,"{""-1"": 92, ""0"": 9908}"
standard17,15,240.01608298306616,-15.983917016933844,0.05,10000,198664,0.05033624612410905,12,False,191034141328743,355,0.0355,9645,0,"{""-1"": 355, ""0"": 9645}"
standard17,15,240.01608298306616,-15.983917016933844,0.05,10000,198664,0.05033624612410905,12,True,191034141328743,17,0.0017,9645,0,"{""-1"": 17, ""0"": 9983}"
standard17,15,240.01608298306616,-15.983917016933844,0.05,10000,198664,0.05033624612410905,14,False,191034141328743,98,0.0098,9902,0,"{""-1"": 98, ""0"": 9902}"
standard17,15,240.01608298306616,-15.983917016933844,0.05,10000,198664,0.05033624612410905,14,True,191034141328743,3,0.0003,9902,0,"{""-1"": 3, ""0"": 9997}"
standard17,15,240.01608298306616,-15.983917016933844,0.05,10000,198664,0.05033624612410905,16,False,191034141328743,24,0.0024,9976,0,"{""-1"": 24, ""0"": 9976}"
standard17,15,240.01608298306616,-15.983917016933844,0.05,10000,198664,0.05033624612410905,16,True,191034141328743,3,0.0003,9976,0,"{""-1"": 3, ""0"": 9997}"
standard17,16,256.0186123491192,0.01861234911922338,0.001,10000,10144493,0.000985756508481991,6,False,191031710871949,10000,1.0,0,0,"{""-1"": 10000}"
standard17,16,256.0186123491192,0.01861234911922338,0.001,10000,10144493,0.000985756508481991,6,True,191031710871949,3234,0.3234,0,0,"{""-1"": 3234, ""0"": 6766}"
standard17,16,256.0186123491192,0.01861234911922338,0.001,10000,10144493,0.000985756508481991,8,False,191031710871949,10000,1.0,0,0,"{""-1"": 10000}"
standard17,16,256.0186123491192,0.01861234911922338,0.001,10000,10144493,0.000985756508481991,8,True,191031710871949,2948,0.2948,0,0,"{""-1"": 2948, ""0"": 7052}"
standard17,16,256.0186123491192,0.01861234911922338,0.001,10000,10144493,0.000985756508481991,10,False,191031710871949,10000,1.0,0,0,"{""-1"": 10000}"
standard17,16,256.0186123491192,0.01861234911922338,0.001,10000,10144493,0.000985756508481991,10,True,191031710871949,1914,0.1914,0,0,"{""-1"": 1914, ""0"": 8086}"
standard17,16,256.0186123491192,0.01861234911922338,0.001,10000,10144493,0.000985756508481991,12,False,191031710871949,9999,0.9999,1,0,"{""-1"": 9999, ""0"": 1}"
standard17,16,256.0186123491192,0.01861234911922338,0.001,10000,10144493,0.000985756508481991,12,True,191031710871949,569,0.0569,1,0,"{""-1"": 569, ""0"": 9431}"
standard17,16,256.0186123491192,0.01861234911922338,0.001,10000,10144493,0.000985756508481991,14,False,191031710871949,4518,0.4518,5482,0,"{""-1"": 4518, ""0"": 5482}"
standard17,16,256.0186123491192,0.01861234911922338,0.001,10000,10144493,0.000985756508481991,14,True,191031710871949,164,0.0164,5482,0,"{""-1"": 164, ""0"": 9836}"
standard17,16,256.0186123491192,0.01861234911922338,0.001,10000,10144493,0.000985756508481991,16,False,191031710871949,1125,0.1125,8875,0,"{""-1"": 1125, ""0"": 8875}"
standard17,16,256.0186123491192,0.01861234911922338,0.001,10000,10144493,0.000985756508481991,16,True,191031710871949,42,0.0042,8875,0,"{""-1"": 42, ""0"": 9958}"
standard17,16,256.0186123491192,0.01861234911922338,0.005,10000,1988024,0.005030120360719991,6,False,191032289789859,10000,1.0,0,0,"{""-1"": 10000}"
